Date,Close,High,Low,Open,Volume
,CCP-B.CR,CCP-B.CR,CCP-B.CR,CCP-B.CR,CCP-B.CR
2025-11-04,79.0,79.0,60.0,79.0,12000
2025-11-05,75.0,75.0,65.5,79.0,8985
2025-11-06,69.0,70.0,65.0,75.0,5107
2025-11-07,63.0,65.0,55.209999084472656,69.0,2000
2025-11-10,59.9900016784668,70.0,50.45000076293945,63.0,5020
2025-11-11,52.900001525878906,59.9900016784668,48.040000915527344,59.9900016784668,2899
2025-11-12,43.040000915527344,55.0,43.040000915527344,52.900001525878906,425
2025-11-13,41.0,50.0,41.0,41.0,2500
2025-11-14,48.939998626708984,49.0,43.04999923706055,41.0,2886
2025-11-17,53.939998626708984,54.97999954223633,50.0099983215332,48.939998626708984,1120
2025-11-18,49.9900016784668,53.93000030517578,44.0,53.939998626708984,80
2025-11-19,48.0,54.5,40.0099983215332,48.0,204
2025-11-20,48.0,49.0,43.0,48.0,1007
2025-11-21,44.0,54.97999954223633,43.02000045776367,48.0,1085
2025-11-25,44.779998779296875,52.0,40.0,44.0,4446
2025-11-26,45.88999938964844,49.97999954223633,40.0,44.779998779296875,8405
2025-11-27,44.47999954223633,51.0,40.0,45.88999938964844,1000
2025-11-28,43.95000076293945,50.0,40.02000045776367,44.47999954223633,1117
2025-12-01,44.0,47.0,40.0099983215332,44.0,240
2025-12-02,42.0,46.5,35.22999954223633,44.0,9275
2025-12-03,41.0,46.9900016784668,34.0099983215332,42.0,5000
2025-12-04,40.0,42.97999954223633,32.810001373291016,41.0,603
2025-12-05,40.0,40.20000076293945,38.0,40.0,603
2025-12-09,39.0,40.0,33.0,40.0,50000
2025-12-10,35.0,38.970001220703125,33.5,39.0,3750
2025-12-11,38.95000076293945,43.0,36.0,35.0,2487
2025-12-12,39.88999938964844,40.9900016784668,38.900001525878906,38.95000076293945,2985
2025-12-15,39.0,42.0,33.0099983215332,39.88999938964844,1324
2025-12-16,39.0,39.849998474121094,36.02000045776367,39.0,1487
2025-12-17,38.439998626708984,38.9900016784668,38.0,39.0,2407
2025-12-18,38.400001525878906,38.439998626708984,38.0,38.439998626708984,1068
2025-12-19,38.34000015258789,38.400001525878906,36.0,38.400001525878906,2378
2025-12-22,38.290000915527344,38.400001525878906,38.0,38.34000015258789,2163
2025-12-23,39.0,44.9900016784668,38.290000915527344,38.290000915527344,500
2025-12-26,42.0,46.790000915527344,37.0099983215332,42.0,368
2025-12-29,48.9900016784668,48.9900016784668,41.0,42.0,2920
2025-12-30,49.0,55.189998626708984,49.0,48.9900016784668,1714
2026-01-02,55.0,55.0,50.0,49.0,936
2026-01-05,65.0,65.0,60.0,55.0,50
2026-01-06,77.9000015258789,77.9000015258789,56.0,65.0,6585
2026-01-07,77.0,90.0,65.0,77.9000015258789,1911
2026-01-08,77.0,80.0,80.0,77.0,182
2026-01-09,77.0,91.0,90.0,77.0,500
2026-01-13,76.5,78.0,76.0,77.0,2938
2026-01-14,76.5,77.0,76.0,76.5,1120
2026-01-15,76.5,76.5,76.5,76.5,940
2026-01-16,75.5,76.5,69.0,76.5,3397
2026-01-20,75.44999694824219,82.0,74.0,75.5,60
2026-01-21,75.44999694824219,75.0,68.0,75.44999694824219,1597
2026-01-22,75.44999694824219,75.0,70.0,75.44999694824219,46
2026-01-23,75.44999694824219,80.0,68.0,75.44999694824219,4387
2026-01-26,75.44999694824219,79.0,68.0,75.44999694824219,20
