Date,Close,High,Low,Open,Volume
,MVZ-A.CR,MVZ-A.CR,MVZ-A.CR,MVZ-A.CR,MVZ-A.CR
2008-01-03,-inf,-inf,-inf,-inf,173
2008-01-04,-inf,-inf,-inf,-inf,1898
2008-01-07,-inf,-inf,-inf,-inf,6446
2008-01-08,-inf,-inf,-inf,-inf,11413
2008-01-09,-inf,-inf,-inf,-inf,1970
2008-01-10,-inf,-inf,-inf,-inf,420
2008-01-11,-inf,-inf,-inf,-inf,7122
2008-01-14,-inf,-inf,-inf,-inf,3778
2008-01-15,-inf,-inf,-inf,-inf,140
2008-01-16,-inf,-inf,-inf,-inf,1347
2008-01-17,-inf,-inf,-inf,-inf,7355
2008-01-18,-inf,-inf,-inf,-inf,14685
2008-01-21,-inf,-inf,-inf,-inf,5899
2008-01-22,-inf,-inf,-inf,-inf,8440
2008-01-23,-inf,-inf,-inf,-inf,2790
2008-01-24,-inf,-inf,-inf,-inf,3725
2008-01-25,-inf,-inf,-inf,-inf,2922
2008-01-28,-inf,-inf,-inf,-inf,2430
2008-01-29,-inf,-inf,-inf,-inf,22208
2008-01-30,-inf,-inf,-inf,-inf,4876
2008-01-31,-inf,-inf,-inf,-inf,21492
2008-02-01,-inf,-inf,-inf,-inf,17759
2008-02-06,-inf,-inf,-inf,-inf,11458
2008-02-07,-inf,-inf,-inf,-inf,4015
2008-02-08,-inf,-inf,-inf,-inf,840
2008-02-11,-inf,-inf,-inf,-inf,730
2008-02-12,-inf,-inf,-inf,-inf,32200
2008-02-13,-inf,-inf,-inf,-inf,13740
2008-02-14,-inf,-inf,-inf,-inf,36554
2008-02-15,-inf,-inf,-inf,-inf,10028
2008-02-18,-inf,-inf,-inf,-inf,2959
2008-02-19,-inf,-inf,-inf,-inf,24380
2008-02-20,-inf,-inf,-inf,-inf,960
2008-02-21,-inf,-inf,-inf,-inf,10467
2008-02-22,-inf,-inf,-inf,-inf,3758
2008-02-25,-inf,-inf,-inf,-inf,150737
2008-02-26,-inf,-inf,-inf,-inf,10017
2008-02-27,-inf,-inf,-inf,-inf,6541
2008-02-28,-inf,-inf,-inf,-inf,3433
2008-02-29,-inf,-inf,-inf,-inf,219510
2008-03-03,-inf,-inf,-inf,-inf,11673
2008-03-04,-inf,-inf,-inf,-inf,118648
2008-03-05,-inf,-inf,-inf,-inf,8584
2008-03-06,-inf,-inf,-inf,-inf,27145
2008-03-07,-inf,-inf,-inf,-inf,580
2008-03-10,-inf,-inf,-inf,-inf,1628
2008-03-11,-inf,-inf,-inf,-inf,5100
2008-03-12,-inf,-inf,-inf,-inf,6277
2008-03-13,-inf,-inf,-inf,-inf,2134
2008-03-14,-inf,-inf,-inf,-inf,3464
2008-03-17,-inf,-inf,-inf,-inf,2009
2008-03-18,-inf,-inf,-inf,-inf,4600
2008-03-24,-inf,-inf,-inf,-inf,2400
2008-03-25,-inf,-inf,-inf,-inf,14049
2008-03-26,-inf,-inf,-inf,-inf,11855
2008-03-27,-inf,-inf,-inf,-inf,1376
2008-03-28,-inf,-inf,-inf,-inf,135919
2008-03-31,-inf,-inf,-inf,-inf,2420
2008-04-01,-inf,-inf,-inf,-inf,0
2008-04-02,-inf,-inf,-inf,-inf,6292
2008-04-03,-inf,-inf,-inf,-inf,21554
2008-04-04,-inf,-inf,-inf,-inf,3725
2008-04-07,-inf,-inf,-inf,-inf,1034
2008-04-08,-inf,-inf,-inf,-inf,1091
2008-04-09,-inf,-inf,-inf,-inf,1050
2008-04-10,-inf,-inf,-inf,-inf,7334
2008-04-11,-inf,-inf,-inf,-inf,12901
2008-04-14,-inf,-inf,-inf,-inf,0
2008-04-15,-inf,-inf,-inf,-inf,3741
2008-04-16,-inf,-inf,-inf,-inf,500
2008-04-17,-inf,-inf,-inf,-inf,2257
2008-04-18,-inf,-inf,-inf,-inf,60796
2008-04-21,-inf,-inf,-inf,-inf,6950
2008-04-22,-inf,-inf,-inf,-inf,5000
2008-04-23,-inf,-inf,-inf,-inf,10294
2008-04-24,-inf,-inf,-inf,-inf,1645
2008-04-25,-inf,-inf,-inf,-inf,0
2008-04-28,-inf,-inf,-inf,-inf,2350
2008-04-29,-inf,-inf,-inf,-inf,0
2008-04-30,-inf,-inf,-inf,-inf,1054
2008-05-02,-inf,-inf,-inf,-inf,27762
2008-05-06,-inf,-inf,-inf,-inf,695
2008-05-07,-inf,-inf,-inf,-inf,5971
2008-05-08,-inf,-inf,-inf,-inf,5140
2008-05-09,-inf,-inf,-inf,-inf,2167
2008-05-12,-inf,-inf,-inf,-inf,2899
2008-05-13,-inf,-inf,-inf,-inf,98584
2008-05-14,-inf,-inf,-inf,-inf,1400
2008-05-15,-inf,-inf,-inf,-inf,0
2008-05-16,-inf,-inf,-inf,-inf,8497
2008-05-19,-inf,-inf,-inf,-inf,2372
2008-05-20,-inf,-inf,-inf,-inf,22852
2008-05-21,-inf,-inf,-inf,-inf,1020
2008-05-22,-inf,-inf,-inf,-inf,5780
2008-05-23,-inf,-inf,-inf,-inf,5074
2008-05-27,-inf,-inf,-inf,-inf,3936
2008-05-28,-inf,-inf,-inf,-inf,2304
2008-05-29,-inf,-inf,-inf,-inf,86171
2008-05-30,-inf,-inf,-inf,-inf,2000
2008-06-02,-inf,-inf,-inf,-inf,4109
2008-06-03,-inf,-inf,-inf,-inf,5450
2008-06-04,-inf,-inf,-inf,-inf,6410
2008-06-05,-inf,-inf,-inf,-inf,92813
2008-06-06,-inf,-inf,-inf,-inf,600
2008-06-09,-inf,-inf,-inf,-inf,11613
