Date,Close,High,Low,Open,Volume
,VNA-B.CR,VNA-B.CR,VNA-B.CR,VNA-B.CR,VNA-B.CR
2024-03-20,120.0,120.0,120.0,120.0,1
2024-03-21,120.0,120.0,120.0,120.0,0
2024-03-22,120.0,120.0,120.0,120.0,0
2024-03-25,120.0,119.98999786376953,119.98999786376953,120.0,1
2024-03-26,120.0,120.0,120.0,120.0,1
2024-03-27,119.9000015258789,119.9000015258789,119.9000015258789,120.0,11
2024-04-01,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,0
2024-04-02,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,0
2024-04-03,119.9000015258789,120.0,120.0,119.9000015258789,2
2024-04-04,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,0
2024-04-05,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,0
2024-04-09,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,0
2024-04-10,119.9000015258789,120.0,120.0,119.9000015258789,1
2024-04-11,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,2
2024-04-12,119.9000015258789,115.0,115.0,119.9000015258789,1
2024-04-15,120.0,120.0,120.0,119.9000015258789,4
2024-04-16,120.0,120.0,119.9000015258789,120.0,4
2024-04-17,120.0,120.0,120.0,120.0,2
2024-04-18,120.0,120.0,120.0,120.0,0
2024-04-22,120.0,120.0,120.0,120.0,0
2024-04-23,120.0,120.0,120.0,120.0,0
2024-04-24,120.0,120.0,120.0,120.0,0
2024-04-25,120.0,120.0,120.0,120.0,0
2024-04-26,115.0,115.0,115.0,120.0,17
2024-04-29,115.0,115.0,115.0,115.0,0
2024-04-30,115.0,115.0,115.0,115.0,0
2024-05-02,115.0,115.0,115.0,115.0,5
2024-05-03,115.0,115.0,115.0,115.0,0
2024-05-06,115.0,115.0,115.0,115.0,0
2024-05-07,115.0,115.0,115.0,115.0,0
2024-05-08,85.0,85.0,85.0,115.0,5
2024-05-09,75.0,75.0,75.0,85.0,25
2024-05-10,75.0,75.0,75.0,75.0,0
2024-05-14,75.0,75.0,75.0,75.0,4
2024-05-15,75.0,75.0,75.0,75.0,1
2024-05-16,75.0,75.0,75.0,75.0,0
2024-05-17,75.0,75.0,75.0,75.0,1756
2024-05-20,75.0,75.0,75.0,75.0,1756
2024-05-21,75.0,75.0,75.0,75.0,0
2024-05-22,75.0,75.0,75.0,75.0,0
2024-05-23,75.0,75.0,75.0,75.0,0
2024-05-24,75.0,74.98999786376953,74.98999786376953,75.0,19
2024-05-27,75.0,75.0,75.0,75.0,0
2024-05-28,75.0,75.0,75.0,75.0,0
2024-05-29,75.0,75.0,75.0,75.0,0
2024-05-30,75.0,75.0,75.0,75.0,0
2024-05-31,75.0,75.0,75.0,75.0,0
2024-06-04,75.0,75.0,75.0,75.0,0
2024-06-05,75.0,75.0,75.0,75.0,0
2024-06-06,75.0,75.0,75.0,75.0,0
2024-06-07,75.0,96.9800033569336,96.9800033569336,75.0,3
2024-06-10,75.0,75.0,75.0,75.0,0
2024-06-11,75.0,85.0,85.0,75.0,4
2024-06-12,75.0,75.0,75.0,75.0,0
2024-06-13,75.0,75.0,75.0,75.0,0
2024-06-14,75.0,97.0,97.0,75.0,4
2024-06-18,75.0,75.0,75.0,75.0,0
2024-06-19,75.0,75.0,75.0,75.0,0
2024-06-20,75.0,75.0,75.0,75.0,0
2024-06-21,97.0,97.0,97.0,75.0,5
2024-06-25,97.0,97.0,97.0,97.0,1
2024-06-26,97.0,97.0,97.0,97.0,0
2024-06-27,97.0,97.0,97.0,97.0,1
2024-06-28,97.0,97.0,97.0,97.0,0
2024-07-01,97.0,97.0,97.0,97.0,0
2024-07-02,97.0,97.0,97.0,97.0,0
2024-07-03,97.0,97.0,97.0,97.0,0
2024-07-04,97.0,97.0,97.0,97.0,0
2024-07-08,97.0,97.0,97.0,97.0,0
2024-07-09,97.0,97.0,97.0,97.0,3
2024-07-10,93.0,97.0,93.0,97.0,15
2024-07-11,95.0,95.0,95.0,93.0,16
2024-07-12,95.0,95.0,95.0,95.0,1
2024-07-15,95.0,95.0,95.0,95.0,0
2024-07-16,95.0,95.0,95.0,95.0,0
2024-07-17,95.0,95.0,95.0,95.0,9
2024-07-18,95.0,95.0,95.0,95.0,0
2024-07-19,95.0,95.0,95.0,95.0,0
2024-07-22,95.0,95.0,95.0,95.0,0
2024-07-23,95.0,95.0,95.0,95.0,0
2024-07-25,95.0,95.0,95.0,95.0,0
2024-07-26,95.0,95.0,95.0,95.0,0
2024-07-29,95.0,95.0,95.0,95.0,1
2024-07-30,95.0,95.0,95.0,95.0,0
2024-07-31,95.0,95.0,95.0,95.0,0
2024-08-01,95.0,95.0,95.0,95.0,0
2024-08-02,95.0,95.0,95.0,95.0,0
2024-08-05,95.0,95.0,95.0,95.0,0
2024-08-06,95.0,95.0,95.0,95.0,0
2024-08-07,95.0,95.0,95.0,95.0,1
